Tick	Task	Batch	Action	Finish Time	Outputbuffer Size
1.0	Task 1	1	LOADED	11.0	0
12.0	Task 1	1	UNLOADED	20
13.0	Task 1	2	LOADED	23.0	20
13.0	Task 2	1	LOADED	83.0	0
24.0	Task 1	2	UNLOADED	20
25.0	Task 1	3	LOADED	42.5	20
43.5	Task 1	3	UNLOADED	55
44.5	Task 1	4	LOADED	58.0	55
59.0	Task 1	4	UNLOADED	82
60.0	Task 1	5	LOADED	70.5	82
71.5	Task 1	5	UNLOADED	103
84.0	Task 2	1	UNLOADED	20
85.0	Task 3	1	LOADED	109.0	0
85.0	Task 2	2	LOADED	155.0	0
110.0	Task 3	1	UNLOADED	20
111.0	Task 1	6	LOADED	122.0	83
111.0	Task 4	1	LOADED	171.0	0
123.0	Task 1	6	UNLOADED	105
156.0	Task 2	2	UNLOADED	20
157.0	Task 3	2	LOADED	181.0	0
157.0	Task 2	3	LOADED	279.5	0
172.0	Task 4	1	UNLOADED	20
182.0	Task 3	2	UNLOADED	20
183.0	Task 1	7	LOADED	198.5	70
183.0	Task 4	2	LOADED	243.0	20
199.5	Task 1	7	UNLOADED	101
244.0	Task 4	2	UNLOADED	40
280.5	Task 2	3	UNLOADED	35
281.5	Task 3	3	LOADED	323.5	0
281.5	Task 5	1	LOADED	297.5	0
298.5	Task 5	1	UNLOADED	20
299.5	Task 5	2	LOADED	315.5	20
316.5	Task 5	2	UNLOADED	40
317.5	Task 2	4	LOADED	412.0	0
324.5	Task 3	3	UNLOADED	35
325.5	Task 1	8	LOADED	342.5	74
325.5	Task 4	3	LOADED	430.5	0
343.5	Task 1	8	UNLOADED	108
344.5	Task 6	1	LOADED	354.5	0
355.5	Task 6	1	UNLOADED	20
356.5	Task 6	2	LOADED	366.5	20
367.5	Task 6	2	UNLOADED	40
413.0	Task 2	4	UNLOADED	27
414.0	Task 3	4	LOADED	446.4	0
414.0	Task 7	1	LOADED	434.0	0
431.5	Task 4	3	UNLOADED	35
435.0	Task 7	1	UNLOADED	20
436.0	Task 5	3	LOADED	464.0	0
436.0	Task 8	1	LOADED	474.0	0
447.4	Task 3	4	UNLOADED	27
465.0	Task 5	3	UNLOADED	35
